collection,station,site,obs.var,min.year,max.year
CMMN-DET-LPBO,LPBO,LPBO,ObservationCount,1961,
CMMN-DET-TCBO,TCBO,TCBO,ObservationCount,1995,
CMMN-DET-BBO,BBO,BBO,ObservationCount3,1992,
CMMN-DET-TTPBRS,TTPBRS,TTPBRS,ObservationCount,2008,
CMMN-DET-RPBO,RPBO,RPBO,ObservationCount,1998,
CMMN-DET-IBS,IBS,IBS,ObservationCount4,1995,
CMMN-DET-MNO,MNO,MNO,ObservationCount,1996,
CMMN-DET-PEPBO,PEPBO,PEPBO,ObservationCount,1995,
CMMN-DET-IPBO,IPBO,IPBO,ObservationCount,1997,
CMMN-DET-BPBO,BPBO,BPBO,ObservationCount,2002,
CMMN-DET-LMBO,LMBO,LMBO,ObservationCount,1993,
CMMN-DET-LSLBO,LSLBO,LSLBO,ObservationCount2,1994,
CMMN-DET-PIBO,PIBO,PIBO,ObservationCount,2003,
CMMN-DET-MGBO,MGBO,MGBO,ObservationCount,2006,
CMMN-DET-OOT,OOT,OOT-1,ObservationCount,1996,
CMMN-DET-HBO,HBO,ROCK,ObservationCount4,2000,2015
CMMN-DET-HBO,HBO,RUTH,ObservationCount,1998,
CMMN-DET-HBO,HBO,SELK,ObservationCount,1996,2006
CMMN-DET-TLBBS,TLBBS,TLBBS,ObservationCount,2009,
CMMN-DET-ABO,ABO,ATBP,ObservationCount,1997,2014
CMMN-DET-DMBO,DMBO,DMBO,ObservationCount,1993,2010
CMMN-DET-TLBO,TLBO,TLBO,ObservationCount,2006,
CMMN-DET-ACBO,ACBO,ACBO,ObservationCount,2007,
CMMN-DET-MIBO,MIBO,MIBO,ObservationCount,2014,
CMMN-DET-VLBO,VLBO,VLBO,ObservationCount,2001,
CMMN-DET-ABO,ATSI,ATSI,ObservationCount,1997,2007
